"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"08.12.2020","27,6758","29,3372","29,3516","27,6065","1,84M","-5,75%"
"07.12.2020","29,3650","29,4883","29,5316","29,2845","1,23M","-0,46%"
"06.12.2020","29,5000","29,6917","29,6917","29,1679","1,33M","-0,78%"
"05.12.2020","29,7312","29,0040","29,8598","29,0040","1,83M","2,44%"
"04.12.2020","29,0238","30,6746","30,6746","29,0238","2,06M","-5,45%"
"03.12.2020","30,6976","30,2514","30,6976","30,0324","1,92M","1,33%"
"02.12.2020","30,2960","30,0671","30,5761","30,0671","2,37M","0,56%"
"01.12.2020","30,1281","31,4913","31,8500","30,0935","3,14M","-4,35%"
"30.11.2020","31,4995","30,0958","31,4995","30,0487","2,97M","4,65%"
"29.11.2020","30,1012","29,1160","30,2506","28,9957","2,86M","3,25%"
"28.11.2020","29,1538","28,4787","29,4197","28,0852","2,64M","2,45%"
"27.11.2020","28,4574","28,2305","28,5916","27,7156","2,32M","0,85%"
"26.11.2020","28,2175","31,2130","31,5025","27,3054","6,24M","-9,83%"
"25.11.2020","31,2931","33,8458","34,7126","31,2931","4,59M","-7,77%"
"24.11.2020","33,9288","30,9998","33,9288","30,9998","7,29M","9,52%"
"23.11.2020","30,9799","30,0584","30,9799","29,8800","2,92M","3,13%"
"22.11.2020","30,0403","30,5448","30,5448","29,5723","2,84M","-1,50%"
"21.11.2020","30,4966","28,8963","30,4966","28,5388","3,16M","5,33%"
"20.11.2020","28,9544","28,1259","29,1015","28,1259","2,49M","3,12%"
"19.11.2020","28,0781","28,1080","28,2432","27,8000","2,02M","0,05%"
"18.11.2020","28,0631","28,5190","28,5540","27,7005","2,22M","-1,73%"
"17.11.2020","28,5570","27,9451","28,6701","27,9451","2,24M","2,11%"
"16.11.2020","27,9657","27,6171","28,1376","27,6095","1,69M","1,09%"
"15.11.2020","27,6630","27,9550","28,0433","27,2115","1,44M","-0,91%"
"14.11.2020","27,9169","28,1274","28,1441","27,5310","1,50M","-1,00%"
