"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"09.09.2020","1,1802","1,1777","1,1834","1,1753","0,20%"
"08.09.2020","1,1779","1,1817","1,1829","1,1765","-0,32%"
"07.09.2020","1,1817","1,1833","1,1849","1,1811","-0,18%"
"04.09.2020","1,1838","1,1850","1,1866","1,1781","-0,09%"
"03.09.2020","1,1849","1,1852","1,1866","1,1789","-0,03%"
"02.09.2020","1,1853","1,1911","1,1931","1,1822","-0,48%"
"01.09.2020","1,1910","1,1936","1,2012","1,1901","-0,22%"
"31.08.2020","1,1936","1,1899","1,1967","1,1883","0,28%"
"28.08.2020","1,1903","1,1822","1,1920","1,1810","0,69%"
"27.08.2020","1,1821","1,1831","1,1902","1,1762","-0,07%"
"26.08.2020","1,1829","1,1834","1,1841","1,1772","-0,03%"
"25.08.2020","1,1833","1,1793","1,1845","1,1783","0,39%"
"24.08.2020","1,1787","1,1787","1,1851","1,1783","-0,07%"
"21.08.2020","1,1795","1,1860","1,1883","1,1754","-0,54%"
"20.08.2020","1,1859","1,1839","1,1869","1,1802","0,19%"
"19.08.2020","1,1836","1,1931","1,1954","1,1830","-0,78%"
"18.08.2020","1,1929","1,1870","1,1967","1,1865","0,51%"
"17.08.2020","1,1869","1,1840","1,1882","1,1829","0,24%"
"14.08.2020","1,1841","1,1815","1,1852","1,1782","0,25%"
"13.08.2020","1,1812","1,1786","1,1865","1,1781","0,25%"
"12.08.2020","1,1782","1,1740","1,1816","1,1710","0,37%"
"11.08.2020","1,1739","1,1738","1,1808","1,1722","0,03%"
"10.08.2020","1,1736","1,1788","1,1803","1,1736","-0,44%"
"07.08.2020","1,1788","1,1877","1,1884","1,1755","-0,75%"
"06.08.2020","1,1876","1,1863","1,1917","1,1818","0,11%"
"05.08.2020","1,1863","1,1802","1,1906","1,1793","0,52%"
"04.08.2020","1,1802","1,1765","1,1807","1,1720","0,33%"
"03.08.2020","1,1763","1,1783","1,1797","1,1696","-0,11%"
"31.07.2020","1,1776","1,1846","1,1910","1,1760","-0,60%"
"30.07.2020","1,1847","1,1788","1,1849","1,1731","0,47%"
"29.07.2020","1,1792","1,1718","1,1807","1,1714","0,65%"
"28.07.2020","1,1716","1,1753","1,1774","1,1698","-0,30%"
"27.07.2020","1,1752","1,1646","1,1782","1,1637","0,82%"
"24.07.2020","1,1656","1,1597","1,1659","1,1580","0,52%"
"23.07.2020","1,1596","1,1575","1,1628","1,1539","0,22%"
"22.07.2020","1,1570","1,1528","1,1602","1,1507","0,37%"
"21.07.2020","1,1528","1,1447","1,1540","1,1422","0,71%"
"20.07.2020","1,1446","1,1410","1,1468","1,1401","0,16%"
"17.07.2020","1,1428","1,1384","1,1444","1,1377","0,39%"
"16.07.2020","1,1384","1,1411","1,1443","1,1370","-0,24%"
"15.07.2020","1,1411","1,1400","1,1452","1,1391","0,12%"
"14.07.2020","1,1398","1,1343","1,1409","1,1324","0,49%"
"13.07.2020","1,1342","1,1300","1,1375","1,1297","0,37%"
"10.07.2020","1,1300","1,1285","1,1326","1,1255","0,15%"
"09.07.2020","1,1283","1,1329","1,1372","1,1279","-0,41%"
"08.07.2020","1,1330","1,1273","1,1352","1,1262","0,51%"
"07.07.2020","1,1272","1,1308","1,1334","1,1258","-0,33%"
"06.07.2020","1,1309","1,1242","1,1346","1,1240","0,53%"
"03.07.2020","1,1249","1,1239","1,1254","1,1219","0,08%"
"02.07.2020","1,1240","1,1252","1,1303","1,1222","-0,11%"
"01.07.2020","1,1252","1,1233","1,1276","1,1185","0,17%"
"30.06.2020","1,1233","1,1242","1,1263","1,1191","-0,08%"
"29.06.2020","1,1242","1,1227","1,1289","1,1216","0,21%"
"26.06.2020","1,1219","1,1218","1,1241","1,1194","0,01%"
"25.06.2020","1,1218","1,1251","1,1261","1,1190","-0,30%"
"24.06.2020","1,1252","1,1308","1,1327","1,1248","-0,50%"
"23.06.2020","1,1308","1,1259","1,1350","1,1233","0,43%"
"22.06.2020","1,1260","1,1185","1,1271","1,1168","0,74%"
"19.06.2020","1,1177","1,1205","1,1255","1,1168","-0,24%"
"18.06.2020","1,1204","1,1244","1,1264","1,1185","-0,36%"
"17.06.2020","1,1244","1,1264","1,1295","1,1207","-0,17%"
"16.06.2020","1,1264","1,1325","1,1353","1,1228","-0,53%"
"15.06.2020","1,1324","1,1245","1,1334","1,1226","0,60%"
"12.06.2020","1,1256","1,1299","1,1341","1,1212","-0,38%"
"11.06.2020","1,1299","1,1373","1,1404","1,1287","-0,63%"
"10.06.2020","1,1371","1,1340","1,1423","1,1322","0,26%"
"09.06.2020","1,1342","1,1297","1,1365","1,1241","0,43%"
"08.06.2020","1,1294","1,1289","1,1321","1,1267","0,07%"
"05.06.2020","1,1286","1,1337","1,1385","1,1278","-0,46%"
"04.06.2020","1,1338","1,1234","1,1363","1,1194","0,93%"
"03.06.2020","1,1234","1,1172","1,1257","1,1166","0,56%"
"02.06.2020","1,1171","1,1137","1,1197","1,1114","0,32%"
"01.06.2020","1,1135","1,1097","1,1155","1,1095","0,32%"
"29.05.2020","1,1099","1,1078","1,1146","1,1070","0,19%"
"28.05.2020","1,1078","1,1005","1,1094","1,0991","0,66%"
"27.05.2020","1,1005","1,0983","1,1032","1,0934","0,21%"
"26.05.2020","1,0982","1,0899","1,0997","1,0891","0,75%"
"25.05.2020","1,0900","1,0903","1,0915","1,0870","-0,02%"
"22.05.2020","1,0902","1,0949","1,0961","1,0885","-0,44%"
"21.05.2020","1,0950","1,0979","1,1010","1,0936","-0,26%"
"20.05.2020","1,0979","1,0928","1,1000","1,0918","0,51%"
"19.05.2020","1,0923","1,0913","1,0977","1,0901","0,09%"
"18.05.2020","1,0913","1,0816","1,0927","1,0799","0,90%"
"15.05.2020","1,0816","1,0805","1,0851","1,0789","0,10%"
"14.05.2020","1,0805","1,0819","1,0826","1,0775","-0,12%"
"13.05.2020","1,0818","1,0848","1,0897","1,0811","-0,28%"
"12.05.2020","1,0848","1,0807","1,0885","1,0784","0,37%"
"11.05.2020","1,0808","1,0838","1,0851","1,0800","-0,30%"
"08.05.2020","1,0841","1,0833","1,0876","1,0814","0,06%"
"07.05.2020","1,0834","1,0795","1,0835","1,0766","0,36%"
"06.05.2020","1,0795","1,0836","1,0848","1,0782","-0,42%"
"05.05.2020","1,0840","1,0907","1,0927","1,0826","-0,62%"
"04.05.2020","1,0908","1,0980","1,0980","1,0895","-0,70%"
"01.05.2020","1,0985","1,0956","1,1019","1,0934","0,26%"
"30.04.2020","1,0957","1,0872","1,0973","1,0833","0,75%"
"29.04.2020","1,0875","1,0819","1,0886","1,0818","0,51%"
"28.04.2020","1,0820","1,0829","1,0890","1,0810","-0,09%"
"27.04.2020","1,0830","1,0809","1,0862","1,0808","0,08%"
"24.04.2020","1,0821","1,0778","1,0831","1,0726","0,40%"
"23.04.2020","1,0778","1,0824","1,0848","1,0755","-0,42%"
"22.04.2020","1,0823","1,0857","1,0886","1,0802","-0,32%"
"21.04.2020","1,0858","1,0862","1,0882","1,0816","-0,05%"
"20.04.2020","1,0863","1,0875","1,0898","1,0841","-0,14%"
"17.04.2020","1,0878","1,0835","1,0893","1,0812","0,38%"
"16.04.2020","1,0837","1,0911","1,0913","1,0817","-0,66%"
"15.04.2020","1,0909","1,0980","1,0991","1,0856","-0,66%"
"14.04.2020","1,0981","1,0914","1,0988","1,0904","0,60%"
"13.04.2020","1,0915","1,0941","1,0969","1,0892","-0,19%"
"10.04.2020","1,0936","1,0930","1,0953","1,0919","0,06%"
"09.04.2020","1,0929","1,0857","1,0953","1,0841","0,65%"
"08.04.2020","1,0858","1,0891","1,0904","1,0829","-0,30%"
"07.04.2020","1,0891","1,0793","1,0926","1,0783","0,91%"
"06.04.2020","1,0793","1,0813","1,0835","1,0768","-0,15%"
"03.04.2020","1,0809","1,0858","1,0865","1,0773","-0,45%"
"02.04.2020","1,0858","1,0964","1,0970","1,0820","-0,97%"
"01.04.2020","1,0964","1,1031","1,1040","1,0903","-0,61%"
"31.03.2020","1,1031","1,1049","1,1056","1,0926","-0,15%"
"30.03.2020","1,1048","1,1136","1,1145","1,1010","-0,84%"
"27.03.2020","1,1142","1,1030","1,1148","1,0953","1,02%"
"26.03.2020","1,1030","1,0881","1,1059","1,0869","1,36%"
"25.03.2020","1,0882","1,0789","1,0895","1,0761","0,86%"
"24.03.2020","1,0789","1,0726","1,0889","1,0722","0,62%"
"23.03.2020","1,0723","1,0696","1,0828","1,0637","0,26%"
"20.03.2020","1,0695","1,0691","1,0832","1,0637","0,03%"
"19.03.2020","1,0691","1,0915","1,0982","1,0654","-2,05%"
"18.03.2020","1,0915","1,0997","1,1046","1,0802","-0,75%"
"17.03.2020","1,0997","1,1183","1,1190","1,0955","-1,66%"
"16.03.2020","1,1183","1,1085","1,1237","1,1046","0,69%"
"13.03.2020","1,1106","1,1185","1,1222","1,1054","-0,70%"
"12.03.2020","1,1185","1,1269","1,1334","1,1055","-0,75%"
"11.03.2020","1,1269","1,1280","1,1367","1,1257","-0,10%"
"10.03.2020","1,1280","1,1446","1,1459","1,1274","-1,48%"
"09.03.2020","1,1449","1,1292","1,1494","1,1284","1,44%"
"06.03.2020","1,1286","1,1238","1,1356","1,1212","0,40%"
"05.03.2020","1,1241","1,1136","1,1245","1,1119","0,94%"
"04.03.2020","1,1136","1,1172","1,1187","1,1094","-0,33%"
"03.03.2020","1,1173","1,1133","1,1214","1,1095","0,35%"
"02.03.2020","1,1134","1,1003","1,1186","1,1003","0,97%"
"28.02.2020","1,1027","1,1001","1,1054","1,0950","0,24%"
"27.02.2020","1,1000","1,0881","1,1006","1,0878","1,09%"
"26.02.2020","1,0881","1,0881","1,0910","1,0855","0,00%"
"25.02.2020","1,0881","1,0854","1,0891","1,0829","0,25%"
"24.02.2020","1,0854","1,0841","1,0872","1,0805","0,08%"
"21.02.2020","1,0845","1,0785","1,0864","1,0783","0,56%"
"20.02.2020","1,0785","1,0806","1,0821","1,0776","-0,19%"
"19.02.2020","1,0806","1,0791","1,0812","1,0782","0,13%"
