"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.02.2020","189,79","188,48","194,92","187,16","11,95M","0,69%"
"02.02.2020","188,50","183,58","193,25","179,49","14,54M","2,65%"
"01.02.2020","183,64","179,88","184,17","179,36","13,24M","2,08%"
"31.01.2020","179,91","184,60","185,67","175,46","11,77M","-2,54%"
"30.01.2020","184,59","173,86","186,76","171,20","13,02M","6,17%"
"29.01.2020","173,86","175,78","178,41","173,76","11,27M","-1,07%"
"28.01.2020","175,74","170,27","176,06","170,27","12,63M","3,21%"
"27.01.2020","170,27","167,91","171,97","165,45","12,54M","1,41%"
"26.01.2020","167,90","160,40","168,00","159,55","9,82M","4,65%"
"25.01.2020","160,44","162,56","162,72","157,87","9,63M","-1,29%"
"24.01.2020","162,55","162,80","164,27","155,65","14,88M","-0,15%"
"23.01.2020","162,80","168,15","168,25","159,78","14,86M","-3,17%"
"22.01.2020","168,13","169,41","171,27","166,19","11,30M","-0,76%"
"21.01.2020","169,41","166,87","169,79","165,53","11,52M","1,52%"
"20.01.2020","166,87","166,92","169,24","161,61","11,30M","-0,03%"
"19.01.2020","166,92","174,17","177,77","162,04","15,84M","-4,17%"
"18.01.2020","174,19","170,18","179,29","165,34","17,42M","2,33%"
"17.01.2020","170,22","164,39","173,96","162,33","18,57M","3,57%"
"16.01.2020","164,36","166,44","167,18","159,08","16,24M","-1,26%"
"15.01.2020","166,45","166,07","166,45","159,74","16,66M","0,23%"
"14.01.2020","166,07","143,59","169,73","143,59","22,85M","15,65%"
"13.01.2020","143,60","146,50","146,87","142,64","10,26M","-1,95%"
"12.01.2020","146,46","142,65","146,46","142,00","10,01M","2,66%"
"11.01.2020","142,67","144,81","147,68","142,23","12,46M","-1,48%"
"10.01.2020","144,81","137,93","144,86","135,69","13,37M","4,99%"
"09.01.2020","137,92","140,80","141,60","135,85","11,38M","-2,05%"
"08.01.2020","140,81","143,01","147,55","137,61","13,71M","-1,56%"
"07.01.2020","143,04","144,09","145,13","139,22","13,58M","-0,73%"
"06.01.2020","144,08","135,59","144,27","135,17","14,36M","6,26%"
"05.01.2020","135,59","134,32","138,33","134,32","12,19M","0,94%"
"04.01.2020","134,33","134,30","135,57","132,76","11,16M","0,04%"
"03.01.2020","134,27","127,19","134,86","126,05","15,67M","5,56%"
"02.01.2020","127,19","130,75","130,77","126,74","11,45M","-2,72%"
"01.01.2020","130,75","129,21","132,97","128,81","10,35M","1,19%"
